# FROM-URL	TO-URL
/zh-TW/docs/50_字解說_RDF	/zh-TW/docs/Archive/Web_Standards/RDF_in_Fifty_Words_or_Less
/zh-TW/docs/Chrome_Registration	/zh-TW/docs/Mozilla/Chrome_Registration
/zh-TW/docs/Creating_a_Web_based_tone_generator	/zh-TW/docs/Archive/Misc_top_level/Creating_a_Web_based_tone_generator
/zh-TW/docs/E4X	/zh-TW/docs/Archive/Web/E4X
/zh-TW/docs/E4X/使用_E4X_處理_XML	/zh-TW/docs/Archive/Web/E4X/Processing_XML_with_E4X
/zh-TW/docs/Firefox_3_Using_Microformat	/zh-TW/docs/Archive/Mozilla/Firefox/Using_microformats
/zh-TW/docs/Infallible_memory_allocation	/zh-TW/docs/Mozilla/Infallible_memory_allocation
/zh-TW/docs/Introduction_to_Layout_in_Mozilla	/zh-TW/docs/Mozilla/Introduction_to_Layout_in_Mozilla
/zh-TW/docs/MDN/Contribute/Persona_sign-in	/zh-TW/docs/Archive/MDN/Persona_sign-ins
/zh-TW/docs/Same-origin_policy_for_file:_URIs	/zh-TW/docs/Archive/Misc_top_level/Same-origin_policy_for_file:_URIs
/zh-TW/docs/The_Joy_of_XUL	/zh-TW/docs/Archive/Mozilla/XUL/The_Joy_of_XUL
/zh-TW/docs/Tools/Firefox_OS_Simulator	/zh-TW/docs/Archive/B2G_OS/Simulator
/zh-TW/docs/Tools/Firefox_OS_Simulator/Simulator_Walkthrough	/zh-TW/docs/Archive/B2G_OS/Simulator/Simulator_Walkthrough
/zh-TW/docs/Web/Apps/Advanced_topics	/zh-TW/docs/Archive/Apps/Advanced_topics
/zh-TW/docs/Web/Apps/Developing/Packaged_apps/Packaged_apps	/zh-TW/docs/Archive/Mozilla/Marketplace/Publishing/Packaged_apps
/zh-TW/docs/Web/Apps/Quickstart/Build	/zh-TW/docs/Archive/B2G_OS/Quickstart
/zh-TW/docs/Web/Apps/Quickstart/Build/App_tools	/zh-TW/docs/Archive/B2G_OS/Quickstart/App_tools
/zh-TW/docs/Web/Apps/Quickstart/Build/Your_first_app	/zh-TW/docs/Archive/B2G_OS/Quickstart/Your_first_app
/zh-TW/docs/Web/CSS/CSS3	/zh-TW/docs/Archive/CSS3
/zh-TW/docs/Web/Guide/Telephony	/zh-TW/docs/Archive/B2G_OS/Web_Telephony_API
/zh-TW/docs/WebAPI/Browser	/zh-TW/docs/Mozilla/Gecko/Chrome/API/Browser_API
/zh-TW/docs/XPI_安裝腳本範例教學	/zh-TW/docs/Archive/Mozilla/XPInstall/Scripting_by_example
/zh-TW/docs/使用_Microformat	/zh-TW/docs/Archive/Mozilla/Firefox/Using_microformats
/zh-TW/docs/包裝佈景主題	/zh-TW/docs/Mozilla/Thunderbird/Thunderbird_extensions/Theme_Packaging
/zh-TW/docs/應用程式-840092-dup/Advanced_topics	/zh-TW/docs/Archive/Apps/Advanced_topics
/zh-TW/docs/應用程式-840092-dup/Packaged_apps	/zh-TW/docs/Archive/Mozilla/Marketplace/Publishing/Packaged_apps
/zh-TW/docs/應用程式-840092-dup/Publishing/In-app_payments	/zh-TW/docs/Archive/Mozilla/Marketplace/Monetization/In-app_payments
/zh-TW/docs/新增偽造網站清單來源	/zh-TW/docs/Mozilla/Adding_phishing_protection_data_providers
/zh-TW/docs/製作_MozSearch_搜尋模組	/zh-TW/docs/Mozilla/Creating_MozSearch_plugins
/zh-TW/docs/製作即時摘要	/zh-TW/docs/Archive/Mozilla/Creating_a_microsummary
/zh-TW/docs/讓搜尋模組支援搜尋建議	/zh-TW/docs/Archive/Add-ons/Supporting_search_suggestions_in_search_plugins
/zh-TW/docs/轉換網頁程式：從_IE_到_Mozilla	/zh-TW/docs/Archive/Mozilla/Migrate_apps_from_Internet_Explorer_to_Mozilla
/zh-TW/docs/開發附加元件	/zh-TW/docs/Archive/Add-ons/Developing_add-ons
